cell_subtype,n_cells,gene,detected_cells,pct_detected,mean_counts_per_cell,mean_counts_among_detected
Ex.L5_L6.THEMIS_NR4A2,840,PCP4,46,5.476190476190476,0.06151139516770923,1.1232515639320817
Ex.L5_L6.THEMIS_NR4A2,840,TLE4,678,80.71428571428572,2.7310862652216317,3.383646700274587
Ex.L5_L6.THEMIS_TMEM233,3660,VAT1L,929,25.38251366120219,0.34344926839305545,1.353093996037226
Ex.L5_L6.THEMIS_TMEM233,3660,EYA4,149,4.07103825136612,0.04794581300150526,1.1777293663456996
Ex.L5_L6.THEMIS_TMEM233,3660,THSD4,566,15.46448087431694,0.19080271388851056,1.2338126021765876
Ex.L5_L6.THEMIS_TMEM233,3660,POU3F1,72,1.9672131147540985,0.020860031871015774,1.0603849534433019
Ex.L5_L6.THEMIS_TMEM233,3660,FEZF2,104,2.841530054644809,0.028738717717791323,1.011381796606887
Ex.L5_L6.THEMIS_TMEM233,3660,BCL11B,1974,53.93442622950819,1.1597765633335613,2.150345603749156
Ex.L5_L6.THEMIS_TMEM233,3660,PCP4,430,11.748633879781421,0.12454096715265386,1.0600463715784028
Ex.L5_L6.THEMIS_TMEM233,3660,TLE4,1644,44.91803278688525,0.9066935110874309,2.018551247311434
Ex.L6.TLE4_CCBE1,1480,VAT1L,855,57.770270270270274,1.1007094093837988,1.9053215507462247
Ex.L6.TLE4_CCBE1,1480,EYA4,73,4.9324324324324325,0.07026846969594872,1.424621029452111
Ex.L6.TLE4_CCBE1,1480,THSD4,211,14.256756756756756,0.17338825995550675,1.2161830556120852
Ex.L6.TLE4_CCBE1,1480,POU3F1,5,0.33783783783783783,0.0032042558699370894,0.9484597375013785
Ex.L6.TLE4_CCBE1,1480,FEZF2,577,38.98648648648649,0.5706320898419525,1.4636663656258053
Ex.L6.TLE4_CCBE1,1480,BCL11B,960,64.86486486486487,2.1361611549176214,3.293248447164666
Ex.L6.TLE4_CCBE1,1480,PCP4,269,18.175675675675677,0.353212509413148,1.9433253306002196
Ex.L6.TLE4_CCBE1,1480,TLE4,1461,98.71621621621621,13.94994599253489,14.131362127961422
Ex.L6.TLE4_MEGF11,1651,VAT1L,838,50.75711689884918,0.9042423013159071,1.7815084003252537
Ex.L6.TLE4_MEGF11,1651,EYA4,175,10.599636583888552,0.20387369545619924,1.9234026925610572
Ex.L6.TLE4_MEGF11,1651,THSD4,204,12.356147789218655,0.16867185646818988,1.365084485436184
Ex.L6.TLE4_MEGF11,1651,POU3F1,7,0.4239854633555421,0.003679096025221415,0.8677410768057937
Ex.L6.TLE4_MEGF11,1651,FEZF2,516,31.25378558449425,0.41984069380909467,1.3433274912380142
Ex.L6.TLE4_MEGF11,1651,BCL11B,1402,84.91823137492429,2.661743667192336,3.134478455445468
